"","PERSON_ID","DISPLAY_LAST_COMMA_FIRST","DISPLAY_FIRST_LAST","ROSTERSTATUS","FROM_YEAR","TO_YEAR","PLAYERCODE","PLAYER_SLUG","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","TEAM_CODE","TEAM_SLUG","GAMES_PLAYED_FLAG","OTHERLEAGUE_EXPERIENCE_CH"
"1","76001","Abdelnaby, Alaa","Alaa Abdelnaby","0","1990","1994","HISTADD_alaa_abdelnaby","alaa_abdelnaby","0","","","","",NA,"Y","00"
"2","76002","Abdul-Aziz, Zaid","Zaid Abdul-Aziz","0","1968","1977","HISTADD_zaid_abdul-aziz","zaid_abdul-aziz","0","","","","",NA,"Y","00"
"3","76003","Abdul-Jabbar, Kareem","Kareem Abdul-Jabbar","0","1969","1988","HISTADD_kareem_abdul-jabbar","kareem_abdul-jabbar","0","","","","",NA,"Y","00"
"4","51","Abdul-Rauf, Mahmoud","Mahmoud Abdul-Rauf","0","1990","2000","mahmoud_abdul-rauf","mahmoud_abdul-rauf","0","","","","",NA,"Y","00"
"5","1505","Abdul-Wahad, Tariq","Tariq Abdul-Wahad","0","1997","2003","tariq_abdul-wahad","tariq_abdul-wahad","0","","","","",NA,"Y","00"
"6","949","Abdur-Rahim, Shareef","Shareef Abdur-Rahim","0","1996","2007","shareef_abdur-rahim","shareef_abdur-rahim","0","","","","",NA,"Y","00"
"7","76005","Abernethy, Tom","Tom Abernethy","0","1976","1980","HISTADD_tom_abernethy","tom_abernethy","0","","","","",NA,"Y","00"
"8","76006","Able, Forest","Forest Able","0","1956","1956","HISTADD_frosty_able","forest_able","0","","","","",NA,"Y","00"
"9","76007","Abramovic, John","John Abramovic","0","1946","1947","HISTADD_brooms_abramovic","john_abramovic","0","","","","",NA,"Y","00"
"10","203518","Abrines, Alex","Alex Abrines","0","2016","2018","alex_abrines","alex_abrines","0","","","","",NA,"Y","00"
"11","1630173","Achiuwa, Precious","Precious Achiuwa","0","2020","2021","precious_achiuwa","precious_achiuwa","0","","","","",NA,"Y","00"
"12","101165","Acker, Alex","Alex Acker","0","2005","2008","alex_acker","alex_acker","0","","","","",NA,"Y","01"
"13","76008","Ackerman, Donald","Donald Ackerman","0","1953","1953","HISTADD_buddy_ackerman","donald_ackerman","0","","","","",NA,"Y","00"
"14","76009","Acres, Mark","Mark Acres","0","1987","1992","HISTADD_mark_acres","mark_acres","0","","","","",NA,"Y","00"
"15","76010","Acton, Charles","Charles Acton","0","1967","1967","HISTADD_bud_acton","charles_acton","0","","","","",NA,"Y","00"
"16","203112","Acy, Quincy","Quincy Acy","0","2012","2018","quincy_acy","quincy_acy","0","","","","",NA,"Y","11"
"17","76011","Adams, Alvan","Alvan Adams","0","1975","1987","HISTADD_alvan_adams","alvan_adams","0","","","","",NA,"Y","00"
"18","76012","Adams, Don","Don Adams","0","1970","1976","HISTADD_don_adams","don_adams","0","","","","",NA,"Y","00"
"19","200801","Adams, Hassan","Hassan Adams","0","2006","2008","hassan_adams","hassan_adams","0","","","","",NA,"Y","00"
"20","1629121","Adams, Jaylen","Jaylen Adams","1","2018","2020","jaylen_adams","jaylen_adams","1610612737","Atlanta","Hawks","ATL","hawks","hawks","Y","11"
"21","203919","Adams, Jordan","Jordan Adams","0","2014","2015","jordan_adams","jordan_adams","0","","","","",NA,"Y","11"
"22","149","Adams, Michael","Michael Adams","0","1985","1995","michael_adams","michael_adams","0","","","","",NA,"Y","00"
"23","203500","Adams, Steven","Steven Adams","1","2013","2021","steven_adams","steven_adams","1610612760","Oklahoma City","Thunder","OKC","thunder","thunder","Y","00"
"24","912","Addison, Rafael","Rafael Addison","0","1986","1996","rafael_addison","rafael_addison","0","","","","",NA,"Y","00"
"25","1628389","Adebayo, Bam","Bam Adebayo","1","2017","2021","bam_adebayo","bam_adebayo","1610612748","Miami","Heat","MIA","heat","heat","Y","00"
"26","1629061","Adel, Deng","Deng Adel","1","2018","2018","deng_adel","deng_adel","1610612739","Cleveland","Cavaliers","CLE","cavaliers","cavaliers","Y","11"
"27","76015","Adelman, Rick","Rick Adelman","0","1968","1974","HISTADD_rick_adelman","rick_adelman","0","","","","",NA,"Y","00"
"28","202399","Adrien, Jeff","Jeff Adrien","0","2010","2014","jeff_adrien","jeff_adrien","0","","","","",NA,"Y","01"
"29","201167","Afflalo, Arron","Arron Afflalo","0","2007","2017","arron_afflalo","arron_afflalo","0","","","","",NA,"Y","00"
"30","200772","Ager, Maurice","Maurice Ager","0","2006","2010","maurice_ager","maurice_ager","0","","","","",NA,"Y","01"
"31","76016","Aguirre, Mark","Mark Aguirre","0","1981","1993","HISTADD_mark_aguirre","mark_aguirre","0","","","","",NA,"Y","00"
"32","201336","Ahearn, Blake","Blake Ahearn","0","2007","2011","blake_ahearn","blake_ahearn","0","","","","",NA,"Y","01"
"33","76017","Ainge, Danny","Danny Ainge","0","1981","1994","HISTADD_danny_ainge","danny_ainge","0","","","","",NA,"Y","00"
"34","201582","Ajinca, Alexis","Alexis Ajinca","0","2008","2017","alexis_ajinca","alexis_ajinca","0","","","","",NA,"Y","01"
"35","76018","Akin, Henry","Henry Akin","0","1966","1967","HISTADD_henry_akin","henry_akin","0","","","","",NA,"Y","00"
"36","203006","Akognon, Josh","Josh Akognon","0","2012","2012","josh_akognon","josh_akognon","0","","","","",NA,"Y","01"
"37","1629152","Akoon-Purcell, DeVaughn","DeVaughn Akoon-Purcell","0","2018","2018","devaughn_akoon-purcell","devaughn_akoon-purcell","0","","","","",NA,"Y","11"
"38","202374","Alabi, Solomon","Solomon Alabi","0","2010","2011","solomon_alabi","solomon_alabi","0","","","","",NA,"Y","01"
"39","76019","Alarie, Mark","Mark Alarie","0","1986","1990","HISTADD_mark_alarie","mark_alarie","0","","","","",NA,"Y","00"
"40","76020","Alcorn, Gary","Gary Alcorn","0","1959","1960","HISTADD_gary_alcorn","gary_alcorn","0","","","","",NA,"Y","00"
"41","1630583","Aldama, Santi","Santi Aldama","0","2021","2021","santi_aldama","santi_aldama","0","","","","",NA,"N","00"
"42","203128","Aldemir, Furkan","Furkan Aldemir","0","2014","2014","furkan_aldemir","furkan_aldemir","0","","","","",NA,"Y","00"
"43","202332","Aldrich, Cole","Cole Aldrich","0","2010","2017","cole_aldrich","cole_aldrich","0","","","","",NA,"Y","01"
"44","200746","Aldridge, LaMarcus","LaMarcus Aldridge","1","2006","2020","lamarcus_aldridge","lamarcus_aldridge","1610612759","San Antonio","Spurs","SAS","spurs","spurs","Y","00"
"45","76021","Aleksinas, Chuck","Chuck Aleksinas","0","1984","1984","HISTADD_chuck_aleksinas","chuck_aleksinas","0","","","","",NA,"Y","00"
"46","1626146","Alexander, Cliff","Cliff Alexander","0","2015","2015","cliff_alexander","cliff_alexander","0","","","","",NA,"Y","01"
"47","724","Alexander, Cory","Cory Alexander","0","1995","2004","cory_alexander","cory_alexander","0","","","","",NA,"Y","00"
"48","2042","Alexander, Courtney","Courtney Alexander","0","2000","2003","courtney_alexander","courtney_alexander","0","","","","",NA,"Y","00"
"49","76022","Alexander, Gary","Gary Alexander","0","1993","1993","HISTADD_gary_alexander","gary_alexander","0","","","","",NA,"Y","00"
"50","201570","Alexander, Joe","Joe Alexander","0","2008","2009","joe_alexander","joe_alexander","0","","","","",NA,"Y","01"
"51","1629734","Alexander, Kyle","Kyle Alexander","0","2019","2019","kyle_alexander","kyle_alexander","0","","","","",NA,"Y","01"
"52","1630234","Alexander, Ty-Shon","Ty-Shon Alexander","0","2020","2020","ty-shon_alexander","ty-shon_alexander","0","","","","",NA,"Y","01"
"53","2349","Alexander, Victor","Victor Alexander","0","1991","2001","victor_alexander","victor_alexander","0","","","","",NA,"Y","00"
"54","1629638","Alexander-Walker, Nickeil","Nickeil Alexander-Walker","0","2019","2021","nickeil_alexander-walker","nickeil_alexander-walker","0","","","","",NA,"Y","01"
"55","76024","Alford, Steve","Steve Alford","0","1987","1990","HISTADD_steve_alford","steve_alford","0","","","","",NA,"Y","00"
"56","1628959","Alkins, Rawle","Rawle Alkins","1","2018","2018","rawle_alkins","rawle_alkins","1610612741","Chicago","Bulls","CHI","bulls","bulls","Y","11"
"57","76028","Allen, Bob","Bob Allen","0","1968","1968","HISTADD_bob_allen","bob_allen","0","","","","",NA,"Y","00"
"58","1628960","Allen, Grayson","Grayson Allen","1","2018","2021","grayson_allen","grayson_allen","1610612762","Utah","Jazz","UTA","jazz","jazz","Y","11"
"59","1628386","Allen, Jarrett","Jarrett Allen","1","2017","2021","jarrett_allen","jarrett_allen","1610612751","Brooklyn","Nets","BKN","nets","nets","Y","00"
"60","706","Allen, Jerome","Jerome Allen","0","1995","1996","jerome_allen","jerome_allen","0","","","","",NA,"Y","00"
"61","1628443","Allen, Kadeem","Kadeem Allen","1","2017","2019","kadeem_allen","kadeem_allen","1610612752","New York","Knicks","NYK","knicks","knicks","Y","11"
"62","202730","Allen, Lavoy","Lavoy Allen","0","2011","2016","lavoy_allen","lavoy_allen","0","","","","",NA,"Y","11"
